Anesthesia_code,Antibiotics_for_Mother_code,Induction_of_Labor_Code,Steroids_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,1,1,1,0,27.65,2307.88,10.31,32.65,29.29,17
1,1,1,1,1,29.14,1540.01,8.3,29.83,29.4,110
1,1,1,1,2,28.78,1804.33,8.59,31.3,30.42,115
1,1,1,1,3,27.79,1887.41,9.33,32.37,29.38,141
1,1,1,1,4,27.58,2000.79,9.38,32.79,30.1,244
1,1,1,1,5,28.97,2039.04,9.59,33.0,30.41,453
1,1,1,1,6,28.48,2048.56,9.35,33.2,29.46,810
1,1,1,1,7,28.42,2110.62,9.75,33.45,29.76,1909
1,1,1,1,8,28.58,2281.47,10.11,34.29,29.07,6286
1,1,1,1,9,28.63,2512.55,10.73,35.48,28.5,22544
1,1,1,1,10,27.32,2677.01,11.1,36.0,28.82,257
1,1,1,1,99,28.37,2266.68,10.11,33.48,28.54,63
1,1,1,2,0,27.8,2952.05,11.56,35.75,30.14,146
1,1,1,2,1,28.24,2635.81,10.45,34.8,29.33,854
1,1,1,2,2,27.61,3059.59,11.78,37.57,29.2,959
1,1,1,2,3,27.88,3204.24,11.72,38.2,29.53,1192
1,1,1,2,4,28.04,3237.79,11.97,38.49,29.61,1704
1,1,1,2,5,27.97,3210.23,11.99,38.4,29.51,2940
1,1,1,2,6,28.08,3213.28,12.02,38.36,29.25,5862
1,1,1,2,7,28.0,3230.9,11.89,38.37,29.18,13962
1,1,1,2,8,28.1,3286.75,11.92,38.62,28.89,67930
1,1,1,2,9,28.5,3344.87,12.04,38.98,28.29,559203
1,1,1,2,10,27.82,3371.06,12.17,39.04,28.44,11424
1,1,1,2,99,28.35,3171.09,11.8,38.18,28.41,617
1,1,2,1,0,29.78,1440.24,7.05,28.73,28.61,102
1,1,2,1,1,28.33,1101.19,7.11,27.07,28.13,916
1,1,2,1,2,29.14,1232.54,7.69,27.84,29.18,775
1,1,2,1,3,28.49,1303.98,7.7,28.45,28.63,1002
1,1,2,1,4,28.83,1417.61,8.15,29.07,28.49,1374
1,1,2,1,5,29.12,1445.4,8.15,29.4,28.68,2234
1,1,2,1,6,29.1,1543.31,8.39,29.92,28.36,4352
1,1,2,1,7,29.34,1657.28,8.77,30.63,28.34,9250
1,1,2,1,8,29.49,1970.26,9.51,32.35,27.82,25087
1,1,2,1,9,29.34,2378.28,10.31,34.44,27.3,68416
1,1,2,1,10,28.32,2566.94,10.83,35.35,26.61,695
1,1,2,1,99,28.89,1657.96,8.7,30.69,27.74,369
1,1,2,2,0,28.3,2437.44,9.45,33.21,28.63,478
1,1,2,2,1,28.55,1838.82,8.18,30.32,28.44,2552
1,1,2,2,2,28.34,2462.86,9.32,34.03,28.77,2269
1,1,2,2,3,28.51,2679.74,9.84,35.35,28.55,2692
1,1,2,2,4,28.42,2757.78,10.22,35.86,28.5,3832
1,1,2,2,5,28.65,2819.78,10.35,36.18,28.2,6721
1,1,2,2,6,28.73,2851.67,10.44,36.29,28.3,13206
1,1,2,2,7,28.86,2941.52,10.7,36.71,28.31,32087
1,1,2,2,8,28.95,3152.33,10.98,37.71,27.94,167277
1,1,2,2,9,29.2,3292.36,11.29,38.47,27.26,1368401
1,1,2,2,10,28.7,3334.39,11.37,38.57,27.4,28385
1,1,2,2,99,29.31,2880.09,10.46,36.25,27.44,1879
1,1,9,1,5,24.0,780.0,3.0,25.0,21.3,1
1,1,9,1,6,24.67,1013.33,7.33,27.33,28.2,3
1,1,9,1,7,29.33,1811.67,6.8,33.5,25.93,6
1,1,9,1,8,26.06,1874.69,7.38,32.0,28.73,16
1,1,9,1,9,27.57,2288.47,8.62,34.23,25.41,40
1,1,9,1,10,27.86,2554.29,6.83,34.57,25.09,7
1,1,9,2,0,20.0,280.0,0.0,20.0,21.2,1
1,1,9,2,5,26.67,3226.67,6.0,36.67,27.6,3
1,1,9,2,6,30.0,3467.5,5.0,38.0,31.85,2
1,1,9,2,7,30.1,2721.5,13.6,35.2,27.94,10
1,1,9,2,8,25.56,2975.44,10.88,36.93,31.07,43
1,1,9,2,9,27.59,3219.15,9.98,37.84,29.22,507
1,1,9,2,10,27.59,3414.43,9.38,38.19,27.8,79
1,2,1,1,0,31.5,2354.67,12.25,32.25,31.43,12
1,2,1,1,1,29.09,1771.48,10.15,31.3,28.93,77
1,2,1,1,2,28.22,2032.79,10.35,32.65,30.23,63
1,2,1,1,3,28.19,2140.72,10.84,33.61,29.91,101
1,2,1,1,4,29.53,2216.71,10.45,34.06,28.66,148
1,2,1,1,5,28.31,2292.29,9.72,34.2,29.48,304
1,2,1,1,6,28.44,2198.88,10.23,33.91,29.46,584
1,2,1,1,7,28.83,2241.84,10.09,34.19,29.21,1332
1,2,1,1,8,28.61,2443.86,10.92,35.11,28.79,4785
1,2,1,1,9,28.65,2722.95,11.67,36.46,27.81,22311
1,2,1,1,10,28.0,2857.28,12.2,37.02,27.08,302
1,2,1,1,99,29.29,2301.93,10.78,34.29,27.78,42
1,2,1,2,0,28.17,2949.48,11.25,36.18,29.4,309
1,2,1,2,1,28.28,2346.39,9.77,33.33,27.98,1783
1,2,1,2,2,27.76,3034.27,11.39,37.37,28.28,1887
1,2,1,2,3,27.89,3170.55,11.7,38.22,28.47,2224
1,2,1,2,4,27.81,3255.84,11.95,38.62,28.77,3298
1,2,1,2,5,27.87,3249.91,12.1,38.56,28.34,5684
1,2,1,2,6,27.9,3258.72,12.11,38.64,28.35,11193
1,2,1,2,7,27.9,3285.41,12.02,38.66,28.28,29535
1,2,1,2,8,27.99,3336.68,11.98,38.87,27.84,172023
1,2,1,2,9,28.51,3362.94,12.01,39.08,27.26,1535721
1,2,1,2,10,27.74,3377.24,12.06,39.11,27.29,35263
1,2,1,2,99,28.87,3208.98,11.92,38.36,27.13,1348
1,2,2,1,0,29.35,1563.44,8.96,29.27,30.14,75
1,2,2,1,1,28.83,1220.88,7.49,27.97,28.62,603
1,2,2,1,2,29.75,1390.79,8.7,28.78,28.75,478
1,2,2,1,3,28.83,1421.2,8.16,29.13,28.61,579
1,2,2,1,4,29.16,1533.79,8.45,29.89,29.16,856
1,2,2,1,5,29.5,1578.03,8.81,30.24,29.17,1467
1,2,2,1,6,29.45,1612.95,8.62,30.58,28.95,2958
1,2,2,1,7,29.81,1744.16,9.28,31.34,28.94,6285
1,2,2,1,8,29.81,2055.73,9.98,32.95,28.28,18030
1,2,2,1,9,29.46,2528.35,10.96,35.27,27.25,55174
1,2,2,1,10,28.85,2743.48,11.66,36.21,26.67,689
1,2,2,1,99,29.39,1751.42,9.54,31.15,26.95,284
1,2,2,2,0,28.92,2230.83,8.59,32.16,28.25,1038
1,2,2,2,1,28.38,1729.44,7.8,29.51,28.39,6137
1,2,2,2,2,28.36,2430.76,9.52,33.82,28.0,5271
1,2,2,2,3,28.37,2652.14,9.96,35.3,28.27,5678
1,2,2,2,4,28.4,2756.28,10.2,35.95,28.05,8157
1,2,2,2,5,28.56,2827.4,10.48,36.29,28.0,14181
1,2,2,2,6,28.61,2893.44,10.65,36.61,27.91,27373
1,2,2,2,7,28.67,3005.04,10.88,37.11,27.74,70868
1,2,2,2,8,28.62,3208.04,11.12,38.08,27.3,413390
1,2,2,2,9,28.86,3311.49,11.34,38.67,26.51,3610615
1,2,2,2,10,28.27,3334.53,11.37,38.72,26.5,72131
1,2,2,2,99,29.23,2855.79,10.65,36.46,27.05,7283
1,2,9,1,2,27.0,400.0,9.0,24.0,25.0,1
1,2,9,1,4,20.0,2040.0,2.0,30.0,22.1,1
1,2,9,1,5,38.0,540.0,5.0,23.0,28.2,1
1,2,9,1,7,32.5,1725.0,9.5,29.25,33.95,4
1,2,9,1,8,28.61,1778.44,13.28,31.44,28.57,18
1,2,9,1,9,27.35,2582.63,9.83,35.51,26.7,49
1,2,9,1,10,27.14,2700.0,11.86,35.86,28.93,7
1,2,9,2,1,26.0,1185.0,12.0,28.0,58.9,1
1,2,9,2,3,29.0,3380.0,10.0,39.0,31.6,1
1,2,9,2,5,35.5,3085.0,11.5,37.0,31.45,2
1,2,9,2,6,26.0,2564.44,9.44,34.11,34.14,9
1,2,9,2,7,26.91,2629.45,10.0,35.0,30.2,22
1,2,9,2,8,26.64,3141.78,9.85,37.42,28.24,103
1,2,9,2,9,26.88,3302.03,10.63,38.24,28.0,1509
1,2,9,2,10,27.39,3358.64,10.36,38.37,28.06,268
1,2,9,2,99,26.0,2015.0,0.0,34.0,28.3,1
2,1,1,1,0,30.0,2206.67,8.33,30.33,25.1,3
2,1,1,1,1,30.89,1064.0,6.06,26.24,29.93,37
2,1,1,1,2,28.21,1328.67,7.26,29.33,28.89,33
2,1,1,1,3,28.11,1715.07,8.77,31.89,29.71,27
2,1,1,1,4,28.21,1569.45,9.15,30.68,28.79,47
2,1,1,1,5,28.32,1888.6,7.94,31.89,30.37,84
2,1,1,1,6,29.75,1811.16,8.85,31.97,29.47,154
2,1,1,1,7,28.61,2018.79,8.49,32.99,29.29,308
2,1,1,1,8,28.84,2219.04,9.25,34.02,28.87,1024
2,1,1,1,9,28.95,2457.24,9.98,35.28,27.86,3788
2,1,1,1,10,27.98,2644.51,11.15,36.05,30.1,43
2,1,1,1,99,27.95,2000.94,9.06,32.47,28.15,19
2,1,1,2,0,28.36,2135.59,8.26,30.08,28.51,44
2,1,1,2,1,28.72,1206.28,6.04,25.26,29.03,271
2,1,1,2,2,27.85,2196.18,8.28,31.76,29.34,144
2,1,1,2,3,28.78,2916.07,11.56,36.22,30.74,164
2,1,1,2,4,28.61,3029.43,11.86,37.33,29.45,186
2,1,1,2,5,27.62,3092.33,11.2,37.72,29.35,333
2,1,1,2,6,28.26,3039.12,11.46,37.53,29.62,692
2,1,1,2,7,28.56,3161.73,11.56,38.06,29.42,1674
2,1,1,2,8,28.69,3259.57,11.55,38.52,28.93,9051
2,1,1,2,9,29.0,3305.63,11.7,38.91,28.33,77338
2,1,1,2,10,28.66,3330.06,11.89,39.01,28.23,2020
2,1,1,2,99,27.27,2849.1,11.83,36.31,28.74,121
2,1,2,1,0,28.59,1159.28,5.28,27.28,28.33,90
2,1,2,1,1,28.05,862.59,5.77,25.29,28.84,572
2,1,2,1,2,28.76,1023.2,5.92,26.26,28.77,403
2,1,2,1,3,28.39,1119.79,6.41,27.13,28.44,478
2,1,2,1,4,28.35,1250.75,6.51,27.66,29.1,615
2,1,2,1,5,28.36,1300.58,7.06,28.22,28.58,949
2,1,2,1,6,28.68,1349.06,6.91,28.56,28.04,1616
2,1,2,1,7,28.71,1526.93,7.49,29.64,28.06,2979
2,1,2,1,8,28.89,1857.03,8.12,31.59,27.55,6678
2,1,2,1,9,28.81,2289.23,8.94,33.85,26.76,16085
2,1,2,1,10,27.57,2505.07,9.9,34.93,26.94,228
2,1,2,1,99,28.18,1390.64,7.01,28.42,28.55,165
2,1,2,2,0,28.31,1568.59,6.27,28.02,27.73,352
2,1,2,2,1,28.23,918.14,5.41,24.3,29.38,1451
2,1,2,2,2,28.23,1625.06,7.05,28.8,28.53,853
2,1,2,2,3,28.02,2032.76,7.88,31.65,28.81,862
2,1,2,2,4,28.53,2228.79,8.32,33.13,28.26,933
2,1,2,2,5,28.62,2420.21,8.73,34.0,28.3,1537
2,1,2,2,6,28.51,2562.41,9.1,34.87,28.11,2805
2,1,2,2,7,28.77,2773.71,9.41,35.83,27.81,6171
2,1,2,2,8,28.76,3104.05,10.04,37.51,27.17,31597
2,1,2,2,9,28.89,3260.54,10.55,38.45,26.52,266409
2,1,2,2,10,28.72,3311.48,10.68,38.72,26.02,7992
2,1,2,2,99,28.71,2550.25,8.96,34.4,27.52,634
2,1,9,1,1,35.0,1290.0,2.0,28.0,49.0,1
2,1,9,1,8,20.0,1670.0,5.0,32.0,17.7,1
2,1,9,1,9,22.6,1649.0,6.6,32.4,26.68,5
2,1,9,2,2,39.0,660.0,4.0,24.0,35.5,1
2,1,9,2,8,28.0,2290.0,8.33,36.0,38.0,3
2,1,9,2,9,26.88,3038.12,8.12,35.88,26.56,8
2,1,9,2,99,27.0,3935.0,0.0,40.0,23.8,1
2,2,1,1,0,29.0,1676.67,10.33,30.67,25.45,3
2,2,1,1,1,27.42,1265.25,8.75,28.46,29.99,26
2,2,1,1,2,28.23,1283.18,7.05,28.14,27.91,22
2,2,1,1,3,28.08,1765.58,10.13,31.5,28.83,24
2,2,1,1,4,28.38,2109.26,8.61,32.85,25.97,34
2,2,1,1,5,27.78,1915.51,9.4,32.49,28.38,68
2,2,1,1,6,29.53,2148.37,8.93,33.61,29.75,86
2,2,1,1,7,28.57,2145.44,9.58,33.82,28.64,261
2,2,1,1,8,28.7,2348.22,10.44,34.86,28.42,838
2,2,1,1,9,28.85,2647.52,11.2,36.24,27.65,3958
2,2,1,1,10,28.89,2835.03,12.0,36.74,27.96,70
2,2,1,1,99,29.06,2026.0,9.87,32.94,28.31,16
2,2,1,2,0,30.02,1995.69,7.7,30.04,27.63,135
2,2,1,2,1,28.78,1241.2,6.28,25.4,28.91,863
2,2,1,2,2,28.5,2371.8,9.04,32.76,28.7,511
2,2,1,2,3,28.33,2902.4,10.7,36.56,28.66,503
2,2,1,2,4,28.88,3171.31,11.68,38.21,28.88,622
2,2,1,2,5,28.26,3212.04,11.87,38.42,28.71,1058
2,2,1,2,6,27.98,3223.14,11.44,38.45,28.52,1988
2,2,1,2,7,28.52,3271.45,11.81,38.59,28.59,5548
2,2,1,2,8,28.48,3340.14,11.72,38.91,27.95,34951
2,2,1,2,9,28.89,3349.64,11.81,39.12,27.45,297137
2,2,1,2,10,28.39,3379.87,11.79,39.22,27.31,8705
2,2,1,2,99,28.73,3042.89,10.27,36.93,27.72,610
2,2,2,1,0,27.29,1260.11,6.99,27.25,29.45,92
2,2,2,1,1,29.16,1004.69,6.7,26.49,29.41,518
2,2,2,1,2,29.16,1222.87,7.32,28.0,29.64,385
2,2,2,1,3,29.38,1347.18,7.64,28.82,29.19,519
2,2,2,1,4,29.18,1386.89,7.71,29.01,28.87,637
2,2,2,1,5,29.69,1466.71,7.84,29.67,28.85,1044
2,2,2,1,6,29.75,1517.29,8.24,29.89,28.88,1820
2,2,2,1,7,29.45,1662.04,8.37,30.74,28.65,3230
2,2,2,1,8,29.83,1988.92,9.37,32.54,28.4,7968
2,2,2,1,9,29.59,2456.49,10.34,34.94,27.38,22158
2,2,2,1,10,28.8,2729.21,11.27,36.13,26.16,342
2,2,2,1,99,28.83,1820.12,8.43,31.62,27.62,239
2,2,2,2,0,28.31,1988.2,6.28,30.5,27.72,2215
2,2,2,2,1,28.13,1055.47,5.38,24.79,28.84,7775
2,2,2,2,2,28.21,1732.39,7.02,29.23,28.61,4275
2,2,2,2,3,28.58,2169.04,8.13,32.33,28.18,3780
2,2,2,2,4,28.64,2485.44,8.96,34.41,27.79,4711
2,2,2,2,5,28.78,2672.53,9.26,35.52,27.53,8004
2,2,2,2,6,28.91,2799.53,9.64,36.08,27.73,13622
2,2,2,2,7,28.91,2979.11,10.02,36.94,27.41,35079
2,2,2,2,8,28.89,3227.17,10.56,38.17,26.86,205805
2,2,2,2,9,29.14,3314.2,10.88,38.71,26.34,1720188
2,2,2,2,10,29.58,3449.87,10.32,39.26,25.24,96755
2,2,2,2,99,29.23,3072.53,7.49,37.68,25.71,30660
2,2,9,1,8,34.0,1715.0,10.0,30.0,21.6,2
2,2,9,1,10,26.0,1250.0,4.0,29.0,27.3,1
2,2,9,2,1,19.0,360.0,5.0,21.0,17.1,1
2,2,9,2,6,24.0,1745.0,5.0,31.0,21.0,1
2,2,9,2,7,20.0,3510.0,13.0,39.0,22.3,1
2,2,9,2,8,30.0,2854.12,6.38,36.38,25.07,8
2,2,9,2,9,28.52,3259.44,8.78,37.78,29.28,27
2,2,9,2,10,30.25,3428.75,7.0,39.5,22.52,4
2,2,9,2,99,18.0,2760.0,0.0,36.0,23.0,1
9,9,9,9,0,26.89,1862.43,4.79,30.52,26.2,93
9,9,9,9,1,29.43,1021.45,5.79,25.53,28.97,69
9,9,9,9,2,29.9,2144.67,7.36,29.87,29.54,31
9,9,9,9,3,27.8,2124.48,8.21,31.93,26.32,30
9,9,9,9,4,26.03,2313.56,8.27,33.89,26.1,29
9,9,9,9,5,29.09,2601.73,8.4,34.75,26.38,55
9,9,9,9,6,28.69,2714.58,8.48,35.69,27.8,70
9,9,9,9,7,30.05,2932.98,10.79,36.75,27.56,136
9,9,9,9,8,28.58,3126.78,10.26,37.8,26.96,648
9,9,9,9,9,29.13,3301.32,10.8,38.8,26.81,3712
9,9,9,9,10,29.79,3432.45,9.89,39.26,25.29,232
9,9,9,9,99,29.21,2981.8,4.72,36.99,26.37,1261
