State of Residence Code	State of Residence	Latitude	Longitude	Total Population	% of Total Births	Average Age of Mother (years)	Average Birth Weight (grams)	Average Number of Prenatal Visits	Average OE Gestational Age (weeks)	Birth Rate	Births	Female Population	Fertility Rate	Standard Deviation for Average Age of Mother	Standard Deviation for Average Birth Weight	Standard Deviation for Average Number of Prenatal Visits
1	Alabama	32.6010112	-86.6807365	4887871	0.0152	27.42	3184.39	10.52	38.15	11.82	57761	948768	60.88	5.6	614.49	3.74
2	Alaska	61.3025006	-158.7750198	737438	0.0027	28.56	3400.19	10.79	38.59	13.68	10086	145589	69.28	5.59	588.57	4.37
4	Arizona	34.1682185	-111.930907	7171646	0.0213	28.37	3276.34	10.72	38.45	11.26	80723	1377098	58.62	5.84	577.62	4.29
5	Arkansas	34.7519275	-92.1313784	3013825	0.0098	27.03	3228.43	10.5	38.24	12.28	37018	577998	64.05	5.64	594.96	3.87
6	California	37.2718745	-119.2704153	39557045	0.12	30.04	3288.1	11.88	38.59	11.5	454920	8089001	56.24	5.9	567.9	4.25
8	Colorado	38.9979339	-105.550567	5695564	0.0166	29.51	3185.43	10.52	38.56	11.04	62885	1161860	54.12	5.71	557.95	3.97
9	Connecticut	41.5187835	-72.757507	3572665	0.0092	30.49	3293.07	12.46	38.56	9.72	34725	669829	51.84	5.56	588.19	3.85
10	Delaware	39.145251	-75.4189206	967171	0.0028	28.99	3250.47	10.36	38.44	10.98	10621	179749	59.09	5.7	601.35	3.87
11	District of Columbia	38.8993487	-77.0145666	702455	0.0024	30.85	3205.47	10.28	38.51	13.11	9212	188939	48.76	6.11	609.55	4.02
12	Florida	27.9757279	-83.8330166	21299325	0.0584	29.14	3239.27	10.73	38.37	10.4	221542	3875027	57.17	5.81	594.08	4.08
13	Georgia	32.6781248	-83.2229757	10519475	0.0333	28.42	3198.96	11.36	38.26	11.99	126172	2163399	58.32	5.89	609.7	4.86
15	Hawaii	20.46	-157.505	1420491	0.0045	29.57	3224.87	10.35	38.42	11.95	16972	264561	64.15	5.96	584.97	4.98
16	Idaho	45.4945756	-114.1424303	1754208	0.0056	28.12	3288.5	11.66	38.53	12.2	21403	337642	63.39	5.53	567.36	3.5
17	Illinois	39.739318	-89.504139	12741080	0.0382	29.46	3260.21	11.43	38.35	11.37	144815	2516375	57.55	5.78	599.05	4.12
18	Indiana	39.7662195	-86.441277	6691878	0.0215	27.89	3282.81	11.3	38.43	12.2	81646	1299333	62.84	5.6	597.1	3.87
19	Iowa	41.9383166	-93.389798	3156145	0.01	28.51	3337.48	11.84	38.46	11.97	37785	594866	63.52	5.33	585.71	3.56
20	Kansas	38.4987789	-98.3200779	2911505	0.0096	28.27	3300.24	11.12	38.42	12.45	36261	560121	64.74	5.57	578.75	3.14
21	Kentucky	37.8222935	-85.7682399	4468402	0.0142	27.45	3260.28	11.8	38.24	12.07	53922	849729	63.46	5.64	602.31	4.35
22	Louisiana	30.9733766	-91.4299097	4659978	0.0157	27.61	3166.77	11.57	38.06	12.79	59615	926727	64.33	5.67	608.31	4.49
23	Maine	45.2185133	-69.0148656	1338404	0.0032	29.11	3338.46	13.32	38.66	9.2	12311	231150	53.26	5.48	589.36	4.32
24	Maryland	38.8063524	-77.2684162	6042718	0.0187	30.02	3257.22	10.81	38.44	11.76	71080	1187110	59.88	5.76	611.89	4.02
25	Massachusetts	42.0629398	-71.718067	6902149	0.0182	30.95	3297.6	11.88	38.65	10.01	69109	1396853	49.47	5.44	583.56	3.48
26	Michigan	44.9435598	-86.4158049	9995915	0.029	28.64	3276.48	12.38	38.5	11.01	110032	1881645	58.48	5.54	603.19	4.97
27	Minnesota	46.4418595	-93.3655146	5611179	0.0178	29.85	3346.88	11.61	38.64	12	67344	1074005	62.7	5.28	590.98	3.89
28	Mississippi	32.5851062	-89.8772196	2986530	0.0098	26.91	3138.51	11.76	37.95	12.39	37000	589546	62.76	5.55	623.25	4.41
29	Missouri	38.3046615	-92.437099	6126452	0.0193	28.13	3265.99	11.01	38.36	11.96	73269	1174176	62.4	5.61	598.78	3.84
30	Montana	46.6797995	-110.044783	1062305	0.003	28.51	3287.38	11.08	38.56	10.84	11513	193329	59.55	5.53	564.47	3.92
31	Nebraska	41.5008195	-99.680902	1929268	0.0067	28.82	3310.71	11.48	38.41	13.21	25488	372530	68.42	5.41	582.61	4.47
32	Nevada	38.502032	-117.0230604	3034392	0.0094	28.72	3221.7	11.44	38.41	11.76	35682	594292	60.04	5.91	569.23	5.64
33	New Hampshire	44.0012306	-71.5799231	1356458	0.0032	29.87	3350.39	12.65	38.76	8.84	11995	244498	49.06	5.35	589.25	3.89
34	New Jersey	40.1430058	-74.7311156	8908520	0.0267	30.62	3259.03	10.59	38.53	11.36	101223	1684843	60.08	5.65	579.61	3.49
35	New Mexico	34.1662325	-106.0260685	2095428	0.0061	27.71	3183.01	10.08	38.41	10.99	23039	397479	57.96	5.85	555.8	4.24
36	New York	40.7056258	-73.97968	19542209	0.0597	30.26	3261.1	11.21	38.62	11.58	226238	3906117	57.92	5.84	582.87	3.71
37	North Carolina	35.2145629	-79.8912675	10383620	0.0314	28.54	3248.04	12.12	38.43	11.46	118954	2037325	58.39	5.77	610.88	4.76
38	North Dakota	47.4678819	-100.3022655	760077	0.0028	28.55	3347.09	10.66	38.47	13.99	10636	147391	72.16	5.18	576.5	3.35
39	Ohio	40.1903624	-82.6692525	11689442	0.0356	28.34	3263.29	11.56	38.39	11.56	135134	2211261	61.11	5.6	600.01	4.37
40	Oklahoma	35.3097654	-98.7165585	3943079	0.0131	27.41	3258.16	10.81	38.22	12.63	49800	770736	64.61	5.6	591.12	3.82
41	Oregon	44.1419049	-120.5380993	4190713	0.0111	29.45	3341.05	11.68	38.75	10.07	42188	820796	51.4	5.73	571.4	3.77
42	Pennsylvania	40.9945928	-77.6046984	12807060	0.0358	29.18	3280.38	11.47	38.55	10.59	135673	2383378	56.92	5.6	600.87	4.51
44	Rhode Island	41.5827282	-71.5064508	1057315	0.0028	29.72	3296.9	11.68	38.58	9.94	10506	207911	50.53	5.68	588.83	4.43
45	South Carolina	33.62505	-80.9470381	5084127	0.0149	28.12	3221.99	11.98	38.25	11.15	56669	974611	58.15	5.72	608.11	4.69
46	South Dakota	44.2126995	-100.2471641	882235	0.0031	28.38	3332.82	10.59	38.55	13.48	11893	161576	73.61	5.34	565.53	3.58
47	Tennessee	35.830521	-85.9785989	6770010	0.0213	27.83	3239.03	11.11	38.29	11.93	80751	1322103	61.08	5.71	608.62	4.26
48	Texas	31.1693363	-100.0768425	28701845	0.0999	28.28	3233.89	10.36	38.26	13.19	378624	5975183	63.37	5.92	581.01	4.08
49	Utah	39.4997605	-111.547028	3161105	0.0125	28.59	3266.45	11.16	38.4	14.93	47209	690263	68.39	5.4	551.64	3.21
50	Vermont	43.8717545	-72.4477828	626299	0.0014	29.69	3343.94	12.82	38.77	8.67	5432	115068	47.21	5.53	589.77	3.43
51	Virginia	38.0033855	-79.4587861	8517685	0.0263	29.54	3275.53	11.48	38.49	11.72	99843	1688184	59.14	5.75	599.97	3.95
53	Washington	38.8993487	-77.0145665	7535591	0.0227	29.68	3339.85	11.13	38.68	11.42	86085	1497718	57.48	5.64	578.69	3.88
54	West Virginia	38.9201705	-80.1816905	1805832	0.0048	27.13	3241	11.5	38.21	10.11	18248	319036	57.2	5.61	604.06	4.29
55	Wisconsin	44.7862968	-89.8267049	5813568	0.0169	29.14	3313.65	12.14	38.48	11.03	64098	1087469	58.94	5.43	599.29	3.92
56	Wyoming	43.000325	-107.5545669	577737	0.0017	28.06	3173.17	10.46	38.46	11.36	6562	107505	61.04	5.6	546.28	3.71
